t 1 2 3 4 5 6 7 8 9 jO0500 jO0100 jO0300 jV0900 
8.1e-05 1.98803 0 -0.137695 -0.000137557 -1.98803 -0.00198604 0 0 2 0.00397407 -0.00212558 -0.00184848 0
8.15e-05 1.99179 0 -0.0419715 -4.19295e-05 -1.99179 -0.0019898 0 0 2 0.00398159 -0.00203372 -0.00194787 0
8.2e-05 1.99117 0 0.0562422 5.61861e-05 -1.99117 -0.00198918 0 0 2 0.00398035 -0.00193498 -0.00204537 0
8.25e-05 1.9858 0 0.155107 0.000154952 -1.9858 -0.00198381 0 0 2 0.00396961 -0.00183085 -0.00213877 0
8.3e-05 1.97555 0 0.253848 0.000253595 -1.97555 -0.00197358 0 0 2 0.00394913 -0.00172196 -0.00222718 0
8.35e-05 1.96042 0 0.352044 0.000351692 -1.96042 -0.00195846 0 0 2 0.00391887 -0.00160872 -0.00231015 0
8.4e-05 1.94041 0 0.449391 0.000448942 -1.94041 -0.00193847 0 0 2 0.00387887 -0.00149146 -0.00238741 0
8.45e-05 1.91557 0 0.545629 0.000545084 -1.91557 -0.00191365 0 0 2 0.00382922 -0.00137048 -0.00245874 0
8.5e-05 1.88596 0 0.640511 0.000639871 -1.88596 -0.00188407 0 0 2 0.00377003 -0.00124609 -0.00252394 0
8.55e-05 1.85165 0 0.733798 0.000733065 -1.85165 -0.0018498 0 0 2 0.00370145 -0.00111859 -0.00258287 0
8.6e-05 1.81274 0 0.825258 0.000824433 -1.81274 -0.00181092 0 0 2 0.00362366 -0.000988303 -0.00263536 0
8.65e-05 1.76931 0 0.914662 0.000913749 -1.76931 -0.00176754 0 0 2 0.00353684 -0.000855557 -0.00268129 0
8.7e-05 1.72147 0 1.00179 0.00100079 -1.72147 -0.00171975 0 0 2 0.00344122 -0.000720681 -0.00272054 0
8.75e-05 1.66935 0 1.08642 0.00108533 -1.66935 -0.00166768 0 0 2 0.00333702 -0.000584011 -0.00275301 0
8.8e-05 1.65197 0 1.11463 1.11463 -1.65197 -1.65197 0 0 7.9494e-13 0.00165197 -0.00165197 1.66971e-19 0
8.85e-05 1.64618 0 1.12403 1.12403 -1.64618 -1.64618 0 0 0 0.00164618 -0.00164618 -1.62069e-18 0
8.9e-05 1.64425 0 1.12717 1.12717 -1.64425 -1.64425 0 0 0 0.00164425 -0.00164425 -1.93071e-18 0
8.95e-05 1.64361 0 1.12821 1.12821 -1.64361 -1.64361 0 0 0 0.00164361 -0.00164361 2.80262e-19 0
9e-05 1.64339 0 1.12856 1.12856 -1.64339 -1.64339 0 0 0 0.00164339 -0.00164339 -1.43773e-18 0
9.05e-05 1.64332 0 1.12868 1.12868 -1.64332 -1.64332 0 0 0 0.00164332 -0.00164332 -4.03611e-18 0
9.1e-05 1.6433 0 1.12872 1.12872 -1.6433 -1.6433 0 0 0 0.0016433 -0.0016433 1.81911e-18 0
9.15e-05 1.64329 0 1.12873 1.12873 -1.64329 -1.64329 0 0 0 0.00164329 -0.00164329 -3.31063e-18 0
9.2e-05 1.64329 0 1.12873 1.12873 -1.64329 -1.64329 0 0 0 0.00164329 -0.00164329 -2.48943e-18 0
9.25e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 2.40557e-19 0
9.3e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -3.69031e-18 0
9.35e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 1.86273e-18 0
9.4e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -9.10878e-19 0
9.45e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 3.33731e-19 0
9.5e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 8.90443e-19 0
9.55e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 1.149e-18 0
9.6e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -3.39014e-18 0
9.65e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -3.5406e-19 0
9.7e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 7.33531e-19 0
9.75e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -1.29056e-18 0
9.8e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -1.96459e-18 0
9.85e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -2.11758e-18 0
9.9e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 2.53284e-18 0
9.95e-05 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -7.57777e-19 0
0.0001 1.64328 0 1.12874 1.12874 -1.64328 -1.64328 0 0 0 0.00164328 -0.00164328 -4.02436e-18 0
0.0001005 1.60392 0 1.18215 0.00118097 -1.60392 -0.00160232 0 0 2 0.00320624 -0.000422953 -0.00278328 0
0.000101 1.54912 0 1.25154 0.00125029 -1.54912 -0.00154757 0 0 2 0.00309669 -0.000298835 -0.00279786 0
0.0001015 1.48676 0 1.32417 0.00132285 -1.48676 -0.00148527 0 0 2 0.00297203 -0.000163908 -0.00280813 0
0.000102 1.4195 0 1.39566 0.00139426 -1.4195 -0.00141808 0 0 2 0.00283758 -2.52344e-05 -0.00281234 0
0.0001025 1.34831 0 1.46438 0.00146292 -1.34831 -0.00134697 0 0 2 0.00269528 0.000114608 -0.00280989 0
